,Season,No. overall,No. in season,Title,Directed by,Written by,Original air date,Us viewers (millions),Description,Final diagnosis
0,1,1,1,"Pilot, Everybody Lies",Bryan Singer,David Shore,2004-11-16,7.05,"Rebecca Adler, a 29-year-old kindergarten teacher, becomes aphasic and collapses from a seizure in her classroom. Dr. Gregory House initially refuses the case until Dr. James Wilson tells him that Rebecca is his cousin. When Dr. Lisa Cuddy tries to make House fulfill his clinical duties, he refuses but is forced to do them when his authorization to the MRI is revoked. He diagnoses Rebecca with cerebral vasculitis and her condition improves with treatment. To find the source of Rebecca's seizures, House convinces Dr. Eric Foreman to break into Rebecca's house. At the hospital, Rebecca suddenly loses her vision and suffers another seizure. Foreman discovers ham at Rebecca's house, revealing both Wilson's lieand the cause of the seizure—tapeworms. When Rebecca refuses treatment, House persuades her otherwise by proving her condition with a non-invasive X-ray suggested by Dr. Robert Chase, which depicts a tapeworm larva embedded in her leg, supporting their diagnosis. ",Neurocysticercosis
1,1,2,2,Paternity,Peter O'Fallon,Lawrence Kaplow,2004-11-23,6.09,"A 16-year-old high school student, Dan, starts suffering night terrors and frequent hallucinations after playing lacrosse at school. Dan's parents take him to see Dr. House after receiving a letter that Cameron sent in House's name. Upon meeting the family, House begins a bet to determine whether they are his biological parents. After Dan exhibits more symptoms, including a myoclonic twitch and a blocked blood vessel, House diagnoses Dan. Dan suffers from an auditory hallucination during a procedure, however, ruling out House's diagnosis. Using coffee cups from the parents, House does an unauthorized paternity test and discovers that neither parent is biologically related to Dan. House flashbacks to a case he had earlier that involved a mother who did not want her baby to be vaccinated and theorizes that Dan is suffering from a measles virus contracted during his childhood. House confirms his diagnosis with a retinal biopsy and successfully cures Dan.",Subacute sclerosing panencephalitis
2,1,3,3,Occam's Razor,Bryan Singer,David Shore,2004-11-30,6.33,"A college student named Brandoncollapses after having sex with his fiancée. His symptoms seem too numerous to be explained by just one disease. Foreman and House suggest different diagnoses with each one arguing that his own respective theory better conforms to Occam's razor. But then Brandon's white blood cell count drops, proving both doctors wrong. At the clinic pharmacy, House theorizes that the pharmacist accidentally gave Brandon colchicine instead of cough medicine, which explains all of his symptoms aside from his cough. House gives Brandon the cure, and he immediately begins to recover, though nobody believes the pharmacist made a mistake. However, when Brandon comments that his old cough medicine did not have letters on it like his current pills, House discovers colchicine pills that look similar to cough medicine, revealing the source and confirming House's diagnosis.",Colchicine poisoning and mild chest infection
3,1,4,4,Maternity,Newton Thomas Sigel,Peter Blake,2004-12-07,6.74,"After overhearing a conversation about a sick baby, House investigates the maternity ward and predicts an epidemic. After realizing the severity of the disease, Cuddy quarantines the maternity ward. In an effort to discover the source of the epidemic, House begins treating the children. However, when the kidneys of two of the children shut down, House is forced to test which drug caused the failure, resulting in one of the babies dying. Following an autopsy, the team discovers the presence of echovirus 11, CMV, and parvovirus B19 antibodies. They test the mothers and decide the cause of the epidemic is the Echovirus. Using an experimental antivirus, they successfully cure the remaining babies. House, determined to find the entry point of the virus, finds an elderly hospital volunteer coughing and wiping her nose as she pushes around a cart of baby toys and blankets and makes the connection.",Echovirus 11
4,1,5,5,Damned If You Do,Greg Yaitanes,Sara B. Cooper,2004-12-14,6.91,"Sister Augustinearrives at the hospital with her hands covered in severe rash, which her fellow nuns think looks like stigmata and which House diagnoses as dermatitis caused by a dish soap allergy. When the antihistamines he gives her cause an asthma attack, House administers epinephrine, and she suffers a minor heart attack. House's team suspects that House made a mistake with the epinephrine, but when they try to find the source of her problems, she suffers hallucinations, convulsions and a rash appears on her leg. Cuddy pulls House off of the case when she hears of House's methodology. An investigation of the convent reveals figwort tea, which explains only the reaction with the epinephrine. She is placed in a hypoallergenic room but inexplicably still has an allergic reaction. But when she begins shouting that she has God inside her, it allows House to find a copper IUD inside her uterus. The device is surgically removed and she fully recovers.",Allergy to Copper IUD
5,1,6,6,The Socratic Method,Peter Medak,John Mankiewicz,2004-12-21,6.73,"A mother, Lucille Palmeiro, collapses after a blood clot travels from her leg to her heart. After arriving in the hospital, she begins to vomit blood, causing House to expect a Vitamin K deficiency. House's team discover unused Ampicillin and frozen microwave burgers, supporting House's diagnosis. An ultrasound of Lucille's liver reveals cirrhosis and a cancerous tumor. The tumor is too large to resect but House orders the team to shrink the tumor with an injection of ethanol so that the surgeon will operate. They are still unable to explain the cirrhosis. However, Lucille, in a decision House claims to be inconsistent with her schizophrenia, calls Social Services to take her son. The team consider that Wilson's disease could explain all symptoms and an eye exam shows copper-colored rings around her irises. Lucille receives treatment, is healed, and reunites with her son.","Vitamin K deficiency, hepatocellular carcinoma, and Wilson's disease"
6,1,7,7,Fidelity,Bryan Spicer,Thomas L. Moran,2004-12-28,6.91,"After returning from jogging with his best friend, Edis uncharacteristically abused by his bedridden wife, Elise. House concludes that she either has rabbit fever from cooking rabbits or African sleeping sickness, which must have been sexually transmitted since neither of them has been to Africa. They both strongly deny having an affair so House starts treatment for rabbit fever. When this fails he successfully treats her for sleeping sickness. She confesses to an affair with her husband's best friend, causing her husband to leave her. ",Human African trypanosomiasis
7,1,8,8,Poison,Guy Ferland,Matt Witten,2005-01-25,12.37,"House and his team investigate the mysterious poisoning of high-school student Matt Davis, until another teen is brought in with all of the same symptoms but almost nothing else in common with Matt. Eventually it is discovered that both youths bought very cheap pairs of jeans at a car boot sale. The jeans were exposed to high doses of pesticides. Meanwhile, House has an old lady hit on him who turns out to have Neurosyphilis.",Phosdrin poisoning
8,1,9,9,DNR,Frederick King Keller,David Foster,2005-02-01,12.75,"John Henry Giles, a legendary jazz musician with ALS, is brought in to be treated by Foreman for pneumonia. House's attempt to prove that he doesn't really have ALS causes John Henry to suffer respiratory failure. House intubates him in violation of his DNR and tries to keep him on life support using a legal technicality. Cameron notices a blood clot, which is removed, and MRI reveals an Arteriovenous malformation which is operated on restoring his ability to walk. Meanwhile, Foreman receives a lucrative job offer from John Henry's doctor, his former mentor.",Arteriovenous malformation
9,1,10,10,Histories,Dan Attias,Joel Thompson,2005-02-08,14.97,"Dr. Foreman believes an uncooperative homeless womanis faking seizures to get a meal ticket at the hospital. But her situation strikes a chord with Dr. Wilson and he resolves to keep her from falling between the cracks. Meanwhile, House gets an audience of two medical students who are learning how to conduct medical histories. The patient is ultimately diagnosed with both a tuberculoma and rabies which is far beyond the point of treatment and the patient dies. Due to being bitten by the patient, Foreman is required to undergo rabies treatment himself. Remorseful for his disbelief in the patient's story, Foreman searches for her family with Wilson, eventually discovering that the woman became homeless after losing her husband and son in a car accident two years earlier. To give her peace as she dies, Foreman pretends to be her husband and forgives her.",Tuberculoma and rabies
